x,y,z
97.019809,180.108831,93.67494
101.401615,163.951564,124.369828
109.307738,173.069108,109.713526
100.894288,191.564911,78.3023
134.157612,139.145205,109.267606
144.510015,141.238315,88.001027
141.73524,152.514118,73.734873
136.797521,154.852273,60.41374
131.095281,174.396953,59.360514
143.753559,132.158363,88.451957
131.411067,137.512846,97.774704
131.397321,127.672619,101.36756
137.874185,149.780056,91.685927
137.383825,159.179718,80.8819
138.145009,155.665913,98.46629
127.033498,164.498689,105.07457
131.147188,176.872535,80.33382
120.191583,172.262563,93.433103
112.60695,183.845628,95.711763
95.085146,179.625174,52.61453
116.405009,185.963731,63.137306
103.361926,187.352144,54.227239
115.577956,172.905411,55.238477
113.105234,153.630846,50.639198
101.248092,155.905125,46.772628
123.285457,146.215144,51.115986
120.72028,70.784965,112.674825
115.421955,121.769876,126.648432
119.66028,129.204864,127.283714
112.448914,151.434433,128.003218
147.447146,125.598309,80.808668
151.038095,113.658333,86.099405
138.126662,103.983905,90.311407
131.5,109.658263,89.165266
130.277162,105.017738,70.645233
130.666225,90.109934,91.313907
141.793228,93.845101,92.239193
131.140744,121.382156,71.041031
141.08604,129.967515,63.526778
133.429119,138.892173,76.685824
127.923709,136.443075,73.143779
122.938706,130.870602,53.682179
121.113485,150.508678,67.823765
126.225504,139.71902,60.595101
140.305709,128.198895,75.653775
126.0,128.96978,84.425824
133.704403,121.251572,85.752621
146.277662,100.807933,106.926931
130.372549,87.01364,112.687127
111.463631,115.664695,42.698403
109.856877,94.634758,60.597584
120.203438,102.589542,54.63467
112.538922,71.057884,75.091816
120.292051,116.757071,38.222388
139.957301,140.979968,50.18292
144.62098,100.147014,79.898162
152.259123,112.858549,68.432144
111.705833,90.678333,55.309167
124.479062,90.840871,51.123953
143.831461,123.554073,57.391854
143.062832,94.156637,72.083186
146.913625,91.085158,67.189173
127.26011,137.751977,35.261304
150.202228,122.362624,47.172277
152.940325,78.805713,61.515946
148.079856,104.370685,42.029109
132.406298,105.142089,41.219662
142.182155,83.665679,49.921881
150.083714,66.180795,74.12733
139.578644,61.953921,65.579087
144.16796,79.669019,81.137615
143.28,62.095686,87.299608
133.675835,54.257367,91.510806
108.042324,53.086307,103.566805
129.425332,40.278761,94.142146
131.750374,77.285501,114.758595
121.635182,55.480069,111.34922
122.033257,45.806193,97.033257
154.842679,102.913551,96.221963
151.894297,89.867502,108.288348
140.702334,70.065862,118.414359
138.62727,61.299798,99.072355
131.808463,48.857461,110.436526
112.534483,39.66092,114.188218
110.244105,74.319001,64.307906
119.618762,64.508982,61.017964
121.389831,90.169492,58.122881
138.695811,48.185792,74.724954
137.648765,57.787325,76.535983
125.152542,36.195686,81.429892
136.842415,48.964654,85.864507
119.360502,74.39185,66.366771
102.136519,73.851536,106.767918
95.984389,88.707989,115.960514
121.913003,74.920407,53.816752
95.291898,147.049945,57.497225
97.364516,159.174194,54.480645
104.455746,137.165786,52.015852
129.839378,113.685665,68.664076
126.25974,110.064935,86.446429
125.928129,152.826518,75.615861
114.061006,189.546541,72.976101
134.951128,169.179699,72.101504
127.497751,123.922939,25.901949
136.939267,110.757068,73.956021
136.829565,99.368696,79.617391
155.165477,104.292219,78.188243
142.689243,118.134462,52.832669
155.554922,101.395287,54.901178
134.650549,124.293407,56.102198
97.782313,155.883735,101.53927
95.442887,162.526279,84.888577
78.060375,44.539286,74.333474
43.620295,63.751227,78.013093
72.226868,49.256228,102.929715
77.026083,47.558042,76.305265
71.976821,41.580308,78.859282
57.656017,41.782393,71.003195
60.698264,51.949266,59.301736
60.980681,108.738321,126.822972
52.032115,105.85919,122.884387
46.370874,123.157282,123.201942
45.069136,127.783951,109.748148
41.45439,127.938619,119.895993
75.553398,36.584466,102.458252
84.934198,92.434662,93.496756
80.662438,56.100589,108.736747
62.285714,42.400534,103.668892
64.710065,55.195753,111.066482
49.72947,75.126159,51.324834
60.919386,48.422265,91.56238
47.281977,45.175872,76.959302
44.07,44.375,67.918333
44.641614,49.954905,58.057753
38.58547,57.830484,80.888889
46.328479,105.454693,81.894822
25.980366,89.316377,98.788934
82.702811,141.914659,137.409639
84.876497,74.045369,121.958412
30.525124,81.598012,91.518498
84.893683,59.192604,121.912173
85.454762,66.283333,105.271429
79.376277,69.248778,87.420702
